"ResponseId","dospert_ethic","dospert_financial","dospert_hs","dospert_rec","dospert_inv","dospert_gam","dospert_soc"
"R_38XVirtBWEjoVTi",8,0,8,8,0,0,16
"R_67qEr703rxZJ9M8",4,2,7,13,1,1,9
"R_5e7vCy3nbA5HC9j",14,2,4,8,2,0,9
"R_6IydxRFiQ2G12Ol",0,3,6,5,3,0,9
"R_30I6tQ8sgkkVyLo",7,5,6,14,3,2,14
"R_6LLp1ZRkT0DD6o1",NA,23,20,21,12,11,23
"R_1G8GBeF6278PxJ8",2,4,14,0,3,1,11
"R_7cJjMQLtw3wmtMd",4,8,3,3,4,4,4
"R_5Q0AnuVkFwBDZ2h",5,5,12,10,1,4,9
"R_6sQGpmhlw3ksmnD",4,1,7,3,0,1,4
"R_3ic3WJgZ6aQnj8d",0,0,0,1,0,0,3
"R_7etRBZ2jsvktJRB",8,3,9,3,3,0,15
"R_6kNhEuyMUlwpF9b",6,5,13,14,4,1,8
"R_3qArdP8OJgeCuhb",0,1,0,0,0,1,4
"R_7EavZVcL3A3ZkGa",2,0,3,0,0,0,7
"R_3yf4dJ3L9J2uFp0",21,25,20,21,12,13,22
"R_51LUqCwheDpdPHj",3,0,6,6,0,0,6
"R_6hpbXJoC2PPC6KR",2,4,10,5,4,0,6
"R_6oAnB09QwpjNbya",9,5,10,10,2,3,10
"R_5rfrQri9pkYyncF",0,3,7,4,0,3,5
"R_6amXYdjgporasOg",8,8,10,8,4,4,10
"R_6hGzBQPOAyIbY6Q",5,3,3,2,3,0,8
"R_1BwztGYBq2PShpd",10,11,17,17,6,5,15
"R_3M5PrJrxz2KW1H8",4,6,5,10,4,2,5
"R_7uDsikm425tlZQb",4,1,9,9,1,0,7
"R_3kS0hUeA2lXUQeU",0,3,3,0,3,0,8
"R_1ffMPw9Rzu6wsur",15,1,10,14,1,0,11
"R_5Kp4Q0WtzeXR8HW",0,0,4,4,0,0,6
"R_6Y0Aokg8bCeYn0R",7,4,7,7,4,0,12
"R_6vdFh4IkYfL2I7L",5,2,4,8,2,0,11
"R_3qju1UW3VVD07L3",6,0,6,4,0,0,13
"R_32R1XDSNyTGYVAl",1,0,0,2,0,0,4
"R_17o9bGXX1rzmFRT",1,0,4,3,0,0,4
"R_3EhdoD79VmV1t9i",10,9,12,13,5,4,13
"R_6fksUNreH0F98ia",1,3,8,6,3,0,7
"R_1313um8ltp5qBYF",1,1,3,0,0,1,4
"R_6dMjcWj3GWD8EzO",10,0,6,11,0,0,12
"R_3h0zobr1r6pB7QZ",4,2,11,3,1,1,8
"R_35i5cyfDisIibzX",3,6,8,4,3,3,9
"R_3Eye5Xgk4iKLSaB",5,2,4,6,2,0,7
"R_5dMAqVdv1f99630",7,7,12,7,4,3,17
"R_1NRWwynls6gcJuV",7,1,7,6,1,0,10
"R_6JxCAWCw1IXgOjz",6,5,12,11,2,3,11
"R_7JGl8z4ucGPe4Bb",6,1,6,3,1,0,12
"R_6LNZZghzTUIlyFI",11,7,10,14,3,4,13
"R_5U6UiKL17Q36uhX",5,3,12,8,3,0,9
"R_39iXfSSZlU539uC",4,2,6,2,2,0,4
"R_3ISquNyz1s1qspR",10,4,10,9,2,2,12
"R_7g1MtgrksD2Vb4j",2,2,8,2,2,0,7
"R_32nTc41frgcVM61",4,5,7,9,2,3,6
"R_3q2xC423oLHuOLB",6,8,5,7,4,4,1
"R_78ICdKcMczkIj2l",2,3,9,0,3,0,6
"R_6K8zf1Le39U5UCv",2,2,2,3,2,0,5
"R_12KupiIBwBAiAlT",8,5,9,11,3,2,11
"R_7itB7zhRgpKX78t",7,3,7,9,3,0,13
"R_7aryV0zJJHMF7D1",2,2,7,7,2,0,12
"R_1axWcYgeIg0SLXn",0,4,8,0,4,0,8
"R_7NS6K0ckKzR33xL",6,8,13,13,4,4,8
"R_3ab2B3gcURS6JBa",3,5,3,4,3,2,8
"R_3e7h3H9CmPZFAm5",3,3,5,0,3,0,8
"R_36RZgx00aPw0jBL",4,4,11,5,2,2,14
"R_5I6mQYvdnxvmCHL",7,7,11,10,5,2,12
"R_138L3WxYejGK0Kt",8,1,8,9,1,0,11
"R_7YG545zyuAwH2pz",3,3,7,5,3,0,7
"R_5zSejDVfxYjUQrF",5,1,6,4,1,0,9
"R_50leIBHtgptrTbI",9,2,12,10,2,0,11
"R_5lACVPPM014Wmwd",16,15,19,18,9,6,22
"R_3GnrbByp0pONqKd",1,1,6,5,1,0,6
"R_64jC50kf2fwXiOA",9,3,6,5,3,0,13
"R_6wjeDONWdHCNJ0q",4,6,9,8,4,2,9
"R_3fk0NLdiIxzKrcD",2,0,1,0,0,0,5
"R_3NeikfJMuZEEHQJ",14,15,3,10,11,4,16
"R_5ClKVwFWaPfnpqH",6,2,9,5,2,0,3
"R_7471xG7AkXS7wBv",11,3,5,13,2,1,7
"R_7JJdmquPgws7SFI",3,3,5,4,0,3,6
"R_5Bqu98WSa3SSJW1",4,3,7,10,3,0,11
"R_531awRduDvVkAjg",3,0,1,8,0,0,8
"R_3I6PL2Bnd5m6YEX",4,0,0,11,0,0,3
"R_6SicG1vZUCP2r9B",2,4,12,5,4,0,8
"R_7QKtauf23FclmZj",8,4,9,11,3,1,10
"R_6TZYbwLG4nocXUB",8,8,9,17,4,4,12
"R_1g1vgz3QFgAhwQQ",3,3,5,4,3,0,9
"R_11Xp6WTjpIMr4S5",4,3,6,4,3,0,9
"R_1PaFNv9vDENJGNE",2,2,4,3,2,0,6
"R_6T1wQD1rmx6N3QR",4,1,6,9,1,0,11
"R_5qfOcAw70W5DkiD",10,4,12,10,3,1,16
"R_5uU0dvwVvNPHJte",1,2,9,8,1,1,10
"R_3sFBnxQPk46qH9D",8,5,4,9,3,2,12
"R_6CHWDVch8w52adB",6,3,5,9,3,0,11
"R_1xUhPp3zey4FFG9",3,2,7,4,2,0,9
"R_5rYdDWufu9FV5mQ",5,3,8,7,3,0,10
"R_7hDBH7TkCn3yCFe",10,5,10,19,4,1,14
"R_7qDzfEBhnDwkUJ8",8,10,19,13,8,2,13
"R_1eb1NSTKnLSHOX0",5,10,15,11,7,3,12
"R_3VDu1BK5ATfisr8",5,3,6,5,3,0,13
"R_5dEluXxdZDk3643",5,2,7,10,1,1,11
"R_5pJspTFI2ecHa13",1,4,10,10,4,0,11
"R_5jq8Mn5ZFB4D9Ch",6,0,3,6,0,0,6
"R_7TcDCk78NjtuyhH",10,5,11,3,4,1,10
"R_7y2UeJqv33Elk96",2,2,2,8,2,0,15
"R_7ukudufgKJgWcOR",3,6,9,9,4,2,8
"R_6EA7PGu3rtmZX6L",2,2,7,0,2,0,6
"R_1K8No2eE39sJWrD",9,5,5,6,3,2,10
"R_1DCD2E8uJt0KgNn",3,7,11,8,7,0,8
"R_7gT8lbNyAzSepeV",0,2,2,1,2,0,4
"R_1IbzQcUIZ4M9Lqh",7,6,9,9,5,1,14
"R_6Mm1oqYQmmdp9lp",16,11,15,17,9,2,22
"R_7smWVJpQ51w4vBv",2,0,5,3,0,0,8
"R_3Eh3FTlsiu0yIEj",11,6,14,12,3,3,13
"R_11Ql7h4eSbog1D9",4,8,8,5,8,0,7
"R_5O1djSg5wX2ZTeE",6,4,8,7,1,3,7
"R_3VD59h7RqZYqask",14,8,15,11,5,3,13
"R_6kcwU8P0KpikFoh",10,3,10,7,3,0,13
"R_3WVHRGB2jzC0S41",3,3,7,0,2,1,6
"R_5mPnRERrrGDSR6Y",1,4,7,0,3,1,7
"R_6NQdgYBqdshoh00",5,3,8,4,3,0,8
"R_6IUJwxm2U67iepH",5,7,12,7,3,4,11
"R_7AYo58CkpJRMdkl",9,6,11,8,5,1,14
"R_7nT3PFAEZrviE1d",5,5,9,5,3,2,7
"R_7pJpOnRfelnL3Zq",7,3,7,7,3,0,12
"R_1Cdbc0YPaonCUCZ",2,2,6,4,2,0,8
"R_6e8YopyHShDxzxE",9,5,8,8,4,1,11
"R_10xdJGGJABI6P2o",9,4,9,14,4,0,7
"R_710bC1IOA9cqUpH",0,0,0,4,0,0,4
"R_7qffoiWVZNLKuLx",2,0,0,2,0,0,4
"R_5ixPTr0uHqI2Sfu",2,0,9,8,0,0,8
"R_31db3e0KcsC3Hqp",15,5,15,20,3,2,21
"R_6OV5OalPygdHNAu",3,3,3,4,3,0,7
"R_3q2t6FfZEe7xoEZ",5,0,6,3,0,0,6
"R_5IxYYDGpPqOWuKu",2,0,9,4,0,0,10
"R_3QnqrkQsT6m8gGz",3,0,0,4,0,0,4
"R_5z1vGEvvn03lT3P",12,5,10,16,3,2,11
"R_6aDiWbvge35ZuzB",10,4,3,10,4,0,10
"R_6OH3ea0sEIXNmxJ",14,10,12,12,5,5,18
"R_5kazc22JWzZQONr",6,2,5,1,2,0,9
"R_3pS4UGNjUGhIFZT",1,2,4,4,2,0,6
"R_6Ceycu09l7fZXkR",3,0,5,3,0,0,7
"R_3qby870JiO6FspX",3,4,12,0,2,2,7
"R_5oYBS1C3GhrvWvN",3,0,6,0,0,0,9
"R_6f0NGQOyPoOxR0c",7,7,9,6,6,1,13
"R_6ULGxCjM2NBYE0x",8,4,8,12,4,0,6
"R_5GlYha5NaGXhs5W",13,9,6,14,9,0,21
"R_1QjwkebCB0V213j",3,3,8,3,3,0,8
"R_3NTWG9v4ZGTgOBH",4,3,10,6,3,0,9
"R_3GNzZGNnPumekPh",3,3,9,2,2,1,9
"R_5j6GBjhiORYOZA4",2,2,6,2,2,0,5
"R_6wS5TpPLUH8BNq9",5,2,10,13,2,0,9
"R_3zYN7dYYBAK9u0O",0,0,0,2,0,0,5
"R_5lyPBW3iNpEU5fW",1,4,5,7,2,2,8
"R_7asIJEEywE2iQFv",8,6,12,5,5,1,9
"R_7CZgMiBp1j6jcKl",0,0,2,0,0,0,6
"R_5OGZ4I0FqSj0zPX",5,2,0,1,2,0,11
"R_6oMjaAPnBnKkvpL",2,3,6,6,3,0,4
"R_7KiUtrBbZioGZ7X",11,3,8,13,3,0,9
"R_6huzMhFw2Poayvj",2,3,7,5,3,0,8
"R_7VPdEPFK8NVC5lR",4,1,2,0,1,0,4
"R_7j96P5KGC0KLL0s",10,14,10,16,6,8,17
"R_5EnIuaVKtrA7PJK",9,2,5,4,2,0,10
"R_7fa81plYMJGXUzf",2,4,4,1,4,0,4
"R_5MsZxvWgd71QNoJ",4,4,7,3,4,0,14
"R_3ruVXKXkCjALiuy",8,6,7,10,6,0,11
"R_3tEZf9k4YY8YABi",7,5,9,14,3,2,13
"R_323UDLYL1w6aEOr",7,1,9,1,1,0,7
"R_7QVTSE8Pzkp36lH",3,2,7,0,2,0,5
"R_7XtEGFXxOJgoM93",9,7,11,9,6,1,12
"R_1SwA1RGEhCLJZrF",0,0,6,0,0,0,5
"R_7ebuDuMKUIL9zyi",5,3,8,5,3,0,5
"R_5wWzfbWu0jq8Fc5",4,4,11,11,4,0,6
"R_50Ptqz8nPx7YHQD",3,3,9,6,3,0,12
"R_3uODD2pdNI8jXXP",10,4,10,14,4,0,12
"R_7uDQOrG28WLjm4m",10,7,9,12,5,2,12
"R_5R4LrQ8jXinBsMV",1,7,11,3,7,0,8
"R_5gFuI6Zdce2HOMq",25,23,21,24,12,11,19
"R_6NFhU0bXejXyu3v",2,1,11,3,1,0,5
"R_5dv8MJ9XT2tsOk6",16,22,19,15,11,11,17
"R_7MDxBq8mtH5I2a8",17,17,16,14,4,13,20
"R_1OXquApJXnrC9Hz",14,19,19,19,8,11,18
"R_59BGTvIulbj5Ok9",17,16,17,15,7,9,17
"R_3HSylAQObjq7nOk",13,4,13,17,1,3,13
"R_5ikEQ9CFFY4yKnv",0,3,9,5,3,0,8
"R_5cpAUcYiSFu8pFr",15,16,17,8,6,10,12
"R_5FncB44tYK8cz8R",24,16,24,28,8,8,32
"R_5IQCuxi5CkbT8HN",10,12,15,12,6,6,14
"R_1kFgIarWRGRiNHk",14,10,15,16,6,4,17
"R_1jNjo5BcokYvGAN",27,17,16,13,11,6,19
"R_7EmnTpRv4SVEkHD",4,0,6,2,0,0,6
"R_6lJ7CPijxHhmHlf",17,17,19,22,9,8,19
"R_6g7n6d7zHUwIoMX",18,15,17,14,8,7,14
"R_5RMLoJsyr6kr6gN",20,20,18,18,10,10,22
"R_3o8c5VkhDvyoBfB",6,0,7,7,0,0,9
"R_1Gg0qg71vPhfaav",14,9,17,14,6,3,14
"R_1YAfOl1rXVFwEkk",12,10,17,20,5,5,8
"R_5foOmJLH4T2YLv5",8,1,11,6,0,1,7
"R_1P6qnB3I6C4Vb09",11,11,11,11,7,4,13
"R_7q1PGnJWvIxzT7z",7,4,9,9,3,1,15
"R_6n1uwWMsLmppkuR",18,15,18,18,9,6,17
"R_7zusvCEnjB1vKhG",0,2,7,2,2,0,7
"R_3YntZIAtEPL2lPX",7,6,2,5,4,2,8
"R_66jPZqvTxJhlvLH",24,14,20,22,10,4,19
"R_516BC81lOL3M6Qh",14,10,14,13,7,3,14
"R_7gZSKxivcLjxOJr",14,15,17,12,7,8,13
"R_59zetEikIlYTIad",10,2,13,9,1,1,6
"R_6eqJTSW3zwu7ANE",13,9,11,12,5,4,11
"R_5hxswS2xy8GQ8qP",16,19,17,18,10,9,15
"R_6gSi5HhPt3oAxfR",20,14,15,17,7,7,14
"R_3cwq0wtPh8hsz81",18,17,11,15,9,8,18
"R_57aHAd10ZZNuNxf",9,6,9,8,5,1,14
"R_3fnMhk29KXeSNNv",28,24,24,24,13,11,26
"R_1Mp5i366LBfPz2h",24,29,25,27,15,14,22
"R_6VgwOqGHVJ9OhaG",16,13,20,13,7,6,22
"R_6sYM7BVH8NIIYyL",6,3,12,6,3,0,11
"R_68VdwXabFtrchAB",11,4,15,19,3,1,11
"R_5tr3EtXA4JtjBK4",16,13,14,15,8,5,15
"R_7cc70RHrlvPR3zA",17,17,23,17,7,10,21
"R_3hywElMMNFsJMYp",14,16,19,14,8,8,17
"R_5YcZ2KLBmTsu8z7",10,9,13,15,5,4,9
"R_3taQqJWDTVGH5FD",6,0,9,4,0,0,7
"R_5sF3tdUQgMMs3mh",16,17,15,17,6,11,19
"R_1VQqjr1jMDX4D0t",2,7,5,7,4,3,7
"R_3ASdQREkJCScnFU",13,14,13,12,6,8,11
"R_3ssZNEMQJjTRgrv",12,14,11,16,7,7,13
"R_1CI5WjcD32clL84",22,26,20,21,13,13,24
"R_7N8sYhBOoS80djp",20,20,15,18,11,9,18
"R_70eQ3TMoJEkaFpw",16,14,19,16,6,8,11
"R_1R7tP2droQgUfmO",3,0,8,3,0,0,6
"R_6V2YSWkZewg4Mbr",19,13,13,19,5,8,20
"R_3KjX0VUXmGoF42r",8,10,11,18,5,5,9
"R_6CVBhsrOfyzPwP8",6,0,9,2,0,0,11
"R_7HGkxVvQiH22rAZ",22,20,12,21,10,10,18
"R_5QuOL3HQafCkeba",16,10,13,15,4,6,14
"R_1RwxoXtULUMrphD",7,5,5,4,2,3,3
"R_6YVUnYdOJJIImnE",6,0,6,12,0,0,5
"R_1njHekJDMtWTrP3",6,2,7,18,2,0,12
"R_5gj9wbDcXgY6vUy",6,7,11,13,4,3,17
"R_65YeVxqNrqJAdSa",18,20,13,20,10,10,18
"R_70f3kJjYxEPcEfj",16,13,19,23,10,3,18
"R_6oI4XXTv6BYJ68W",22,16,22,22,5,11,20
"R_6MnFF7Nk4n9fxor",9,0,12,15,0,0,8
"R_5zIpozcCK0Em7Pj",22,20,22,21,10,10,20
"R_6yS4f4rZps2yj3X",18,16,13,13,8,8,17
"R_72JGymiY2HhXLge",6,4,8,8,3,1,10
"R_5LveHzx1fgprU5K",12,5,6,10,3,2,11
"R_7vNtg3jwCYkxeFP",10,5,11,12,0,5,15
"R_54ICgWblx5Ukwyt",14,14,14,17,8,6,19
"R_3OqJNGKsvNTZs9Y",12,8,14,18,3,5,13
"R_7ez7MriTXjejJC2",19,18,15,18,9,9,19
"R_12X5wmxWTc8qh3Z",13,21,18,17,11,10,18
"R_58I4Q6hfuzXQFOx",22,26,20,23,13,13,30
"R_1yrHLXxiXfBpYWJ",9,9,15,9,6,3,15
"R_7OPVx66hHwwPYOs",18,12,10,13,6,6,21
"R_1iQAYNfLAXjfLNv",6,4,6,12,3,1,15
"R_124RlVWteOn5i0l",28,28,28,27,15,13,29
"R_7XiCVkmVutzQs1O",22,16,18,17,9,7,18
"R_7LX5DFFzGHBZIBH",16,10,23,18,7,3,15
"R_7prIEyfgxpjQhvr",22,26,20,22,14,12,23
"R_10wUwpQmoXdvyO7",14,9,18,16,2,7,11
"R_6rkXrCLgJVt3dDj",22,26,22,23,14,12,26
"R_3BA91EDJt5yeJqO",10,6,8,17,6,0,11
"R_37HTjiEy7eyRlhw",13,14,15,16,9,5,14
"R_1FLkMO3vfrw1uMy",5,3,13,17,3,0,18
"R_5C8ynOQuZHN74qM",26,27,27,29,12,15,26
"R_1IwmMjhBLuoyiCB",5,6,11,12,2,4,6
"R_3eRg4N5LM6CcG2m",6,0,9,9,0,0,8
"R_3A0fWLi30ZPDSVj",24,25,26,27,12,13,27
"R_7oQPi2nKfOL50KB",5,2,6,3,2,0,9
"R_1jiCSCifVR3LAdW",3,1,5,9,1,0,14
"R_5FJlyc0MyLnL958",16,8,14,22,6,2,19
"R_7aIYFnFjpt0UAvv",13,9,8,12,6,3,12
"R_5h0gUw9g6wRMdEg",7,7,8,8,4,3,6
"R_6pBg2X782vUmMdX",0,0,0,4,0,0,2
"R_3gtgjYgYKrJi389",15,13,11,18,7,6,13
"R_1n8GzjSOT8GaTQd",28,25,29,27,12,13,30
"R_1OHG95IozQ4AcJr",14,18,15,18,8,10,16
"R_7usJiKjcEwzZD7h",3,0,3,6,0,0,9
"R_3KljfxutjygJ3AR",12,16,15,18,6,10,17
"R_1pHdMVd3hcQrGy5",6,4,6,9,3,1,10
"R_7QtEnEFa3wAx3zj",3,1,6,1,1,0,8
"R_6DHqxnMKvrVBXwt",6,2,2,6,2,0,14
"R_5ePuhcORGYi2UIb",5,2,5,13,2,0,13
"R_59aWMbuIYpL4Fe0",6,3,7,5,2,1,10
"R_1rxI0dJppoKlOQV",15,9,14,23,8,1,20
"R_1wzYgUpy8FENH76",2,2,11,14,2,0,15
"R_6Sg0CtULnaAoFH3",13,8,11,19,5,3,15
"R_3TIykVe1REHdYQ1",16,18,11,19,10,8,16
"R_7sMwTP3HEqmcbFT",6,7,11,16,3,4,8
"R_5PZqLMxUWGMxcIY",9,6,10,10,6,0,10
"R_5Rr4JPCkcwI0r8n",12,3,6,17,3,0,13
"R_7MlzTKkdXR9Aklr",25,25,23,26,12,13,26
"R_6cUpbnrwRnxakjh",10,8,11,7,4,4,7
"R_7YM6Rf2fdp8KueI",7,5,3,7,4,1,8
"R_7YwwfjcrIFBWcTL",16,11,12,11,6,5,13
"R_5eL8vtV1yB7vh1T",7,4,10,13,4,0,12
"R_5rjShz1zc8hZVYE",24,25,24,23,12,13,23
"R_1OkCwKXdfwK5aqB",9,4,7,11,3,1,14
"R_7mDwOBw7s0qaQtq",20,20,22,24,9,11,22
"R_6dcNHppBA1Mp9Fe",13,13,16,16,7,6,13
"R_3wKU79SyjdyBMnk",25,26,25,24,13,13,22
"R_3qjIhgK5y3nUjpC",2,2,6,15,2,0,6
"R_5MbZihlyeCN4Qh1",10,15,15,11,8,7,12
"R_1qCWv1qlEmbuDLo",9,7,12,14,4,3,12
"R_10UxMDsMVIhnoh9",11,7,10,14,6,1,17
"R_6JiaiHsBq0h426B",23,26,23,25,12,14,24
"R_6CmetbM7zLZMhQa",7,5,11,12,4,1,13
"R_3ob7v6i1y9xUXQB",8,4,12,14,4,0,13
"R_3wjg1sZe0EkZHul",9,2,9,14,2,0,14
"R_3dKEPjLL1Nq6CrH",5,5,16,16,3,2,11
"R_18sf7b999Pv0w7f",20,12,18,19,8,4,22
"R_1YaLMRsxkrfQT9n",5,2,6,11,2,0,11
"R_5aFwsuByz1zLHFV",15,4,11,9,4,0,13
"R_7DO9gDBqtctC2Cb",12,12,13,20,11,1,18
"R_114g6pjuBx5AvQq",8,1,3,1,1,0,8
"R_7CNj430G9Gf6zkM",27,24,24,27,13,11,25
"R_3mUl4hnWkQsOtFp",5,11,6,8,9,2,11
"R_3GIAMSJFo6rQT77",1,2,8,4,2,0,6
"R_7EgsnmiFd7mfDip",1,2,3,3,2,0,3
"R_7He94ppuZrxRUXv",3,4,7,17,4,0,16
"R_58aQ9Lqu9T1jSbT",0,0,3,2,0,0,6
"R_3CDuwlSLevvpvPd",3,2,6,7,2,0,13
"R_10SgocvjcYGUOop",16,16,16,17,9,7,17
"R_5LgUimIlyauBn44",10,11,14,15,7,4,16
"R_7n1rRn9eyOS2Apu",11,14,14,17,8,6,18
"R_3B9SEnr9gmScdZT",20,16,17,16,9,7,16
"R_6CIw46Y5DEhieYD",3,2,5,7,2,0,10
"R_7CHYpI8EkaHQGQI",16,11,15,16,7,4,17
"R_7yoeMH4cTH4yK9r",24,16,13,15,7,9,15
"R_7zDtMIE46cG6gN3",12,11,17,14,5,6,10
"R_5R1HoLDPMo5Qjq8",15,17,20,17,10,7,16
"R_1PHMnWDyU33tkcA",11,13,10,18,7,6,14
"R_7i5kRVat6jVWK6Q",17,14,18,14,7,7,17
"R_1Mm4TUF8lN3RH4h",17,13,15,20,5,8,12
"R_7lcb8GLvIYqVLE0",8,4,0,0,0,4,8
"R_6t9W9dvlvurObRd",3,0,0,6,0,0,2
"R_6a8s74zwjnvRHjz",10,8,11,16,2,6,18
"R_7F4Kd95yZmIuur2",20,11,13,13,7,4,12
"R_7PBbR4M62NpzphA",6,6,11,10,3,3,9
"R_5PDwTdxYhCMiqKl",17,22,22,21,13,9,25
"R_5TKRnfxPPN6kAyR",18,17,18,18,8,9,18
"R_7jW0xD08RZNhLMd",22,21,26,21,6,15,20
"R_5f3Ove9840ufj43",20,19,16,21,8,11,20
"R_1Yycgl6YkfeDV5f",18,16,18,19,8,8,19
"R_1w0LAI68jz3tHhs",22,23,23,25,11,12,18
"R_7HjeA5NVqNHEn4b",26,26,26,27,12,14,29
"R_1JdYMIXBbFnRhMK",17,13,15,14,8,5,16
"R_17TE3uIaNjj5GAS",5,1,11,8,1,0,13
"R_6Y4aGORvjvLXwT2",10,4,9,11,4,0,12
"R_1g0x63j7ZqA3O2L",22,22,13,21,11,11,24
"R_8tPLj3W5d5J65bj",18,18,13,24,10,8,18
"R_5W9wUvrYg4qIh2h",15,13,16,6,9,4,13
